"57bbbc76-e02a-37a9-8f19-98f39751d257","homenick","4","66877","2016-03-18",
"c0aaf4fa-343a-3e49-978b-e95beca55d56","turner","6","44652","2000-10-04",
"ba340aa3-0891-36e7-88df-b09d04c83138","gerhold","8","35611","2003-01-20",
"1a413dfa-579b-397f-8975-600600cb6fec","bosco","0","39812","1999-10-28",
"a3b28312-9202-3e32-918d-71e8d410e970","kozeynikolaus","16","94840","1994-03-08",
"638684e1-4752-3d03-b060-3c522ba52c90","schuppe","6","64981","1982-03-11",
"2ba4d0af-8581-346c-b553-df2dbb95e10a","homenickbogisich","6","70910","1978-05-23",
"e97fb779-1ead-3fcb-b4b3-938ecf66f4e8","hudson","18","9971","1970-10-03",
"748fba0f-4055-3bf3-a15c-21ec6f8620b0","kochdicki","8","4364","2012-07-31",
"706cb9d3-fd8d-3490-8e9b-74b386f76e9b","rau","0","96121","1987-06-29",
"d93ec94f-4736-3e3e-89c6-12e7abb2e0b1","kunze","12","86768","2018-06-25",
"127a7477-2807-36a6-bc34-853763d29f60","collierupton","8","87199","1999-08-31",
"1433027e-d429-3af2-b1e6-e3b4e06ca6f5","botsford","8","76407","2016-03-27",
"90d0785f-80e8-3133-8286-a6d1e78124ed","bauch","18","37004","1990-04-10",
"00941517-c2af-3eb0-a415-c2f5d1524b49","marks","12","25116","1973-02-25",
"f57083fb-fb2d-3730-af54-7d1c0f3e8307","kassulke","18","66675","2013-05-15",
"5d60a824-f037-366a-a30b-d7e41c85741b","dickenslebsack","16","35936","1998-06-03",
"bff7f34a-49c5-3544-ab71-5c703cdee5c8","parker","4","30215","2017-04-28",
"850fcf08-3812-32b8-b432-16990ce911bc","rohan","18","57088","1999-01-22",
"8e4bfc86-1d97-3f31-b069-6872fee09f9a","bergstromtremblay","4","42410","2003-08-07",
"f24327f6-68d3-3a4f-9699-f7c876a4455a","gorczanyschaden","0","67787","2020-07-14",
"ba3e141d-b336-32ee-a0a7-6a8a704dfe82","kovacek","16","94215","1973-07-25",
